Stock Code,Name of Securities,Category,Sub-Category,Board Lot,Par Value,ISIN,Expiry Date,Subject to Stamp Duty,Shortsell Eligible,CAS Eligible,VCM Eligible,Admitted to Stock Options,Admitted to Stock Futures,Admitted to CCASS,ETF / Fund Manager,Debt Securities Board Lot (Nominal),Debt Securities Investor Type,POS Eligble,"Spread Table
1, 4 = Part A
2 = Part B
3 = Part C
5 = Part D"
00951,CHAOWEI POWER,Equity,Equity Securities (Main Board),"1,000",USD 0.0100,KYG204791043,,Y,Y,Y,,,,Y,,,,Y,1
00952,TONGHAI FIN,Equity,Equity Securities (Main Board),"10,000",HKD 0.00333,BMG2118X1056,,Y,,Y,,,,Y,,,,Y,1
00953,SHAW BROTHERS,Equity,Equity Securities (Main Board),"2,000",HKD 0.0100,KYG8072W1087,,Y,,Y,,,,Y,,,,Y,1
00954,CHANGMAO BIO,Equity,Equity Securities (Main Board),"4,000",RMB 0.1000,CNE100000106,,Y,,Y,,,,Y,,,,Y,1
00956,CHINA SUNTIEN,Equity,Equity Securities (Main Board),"1,000",RMB 1.0000,CNE100000TW9,,Y,Y,Y,,,,Y,,,,Y,1
00959,CENTURY ENT INT,Equity,Equity Securities (Main Board),"2,000",HKD 0.2000,,,Y,,Y,,,,Y,,,,Y,1
00960,LONGFOR GROUP,Equity,Equity Securities (Main Board),500,HKD 0.1000,KYG5635P1090,,Y,Y,Y,Y,,,Y,,,,Y,1
00966,CHINA TAIPING,Equity,Equity Securities (Main Board),200,,HK0000055878,,Y,Y,Y,Y,,,Y,,,,Y,1
00967,SOUND GLOBAL,Equity,Equity Securities (Main Board),"1,000",,SG1W63939514,,Y,,Y,,,,Y,,,,Y,1
00968,XINYI SOLAR,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG9829N1025,,Y,Y,Y,Y,,,Y,,,,Y,1
00969,HUA LIEN INT'L,Equity,Equity Securities (Main Board),"2,000",HKD 0.1000,KYG4636M1087,,Y,,Y,,,,Y,,,,Y,1
00970,SPARKLE ROLL,Equity,Equity Securities (Main Board),"8,000",HKD 0.0020,BMG8310J1099,,Y,,Y,,,,Y,,,,Y,1
00973,L'OCCITANE,Equity,Equity Securities (Main Board),250,EUR 0.0300,LU0501835309,,Y,Y,Y,Y,,,Y,,,,Y,1
00974,SKL,Equity,Equity Securities (Main Board),"1,000",HKD 0.0100,KYG2163D1034,,Y,,Y,,,,Y,,,,Y,1
